forecast_date,product_id,product_name,category,predicted_units,reorder_flag
2025-01-01,PRD001,Wireless Headphones,Electronics,5.3,0
2025-01-02,PRD001,Wireless Headphones,Electronics,5.5,0
2025-01-03,PRD001,Wireless Headphones,Electronics,5.6,0
2025-01-04,PRD001,Wireless Headphones,Electronics,5.8,0
2025-01-05,PRD001,Wireless Headphones,Electronics,5.9,0
2025-01-06,PRD001,Wireless Headphones,Electronics,5.2,0
2025-01-07,PRD001,Wireless Headphones,Electronics,5.2,0
2025-01-08,PRD001,Wireless Headphones,Electronics,5.3,0
2025-01-09,PRD001,Wireless Headphones,Electronics,5.5,0
2025-01-10,PRD001,Wireless Headphones,Electronics,5.6,0
2025-01-11,PRD001,Wireless Headphones,Electronics,5.8,0
2025-01-12,PRD001,Wireless Headphones,Electronics,5.9,0
2025-01-13,PRD001,Wireless Headphones,Electronics,5.1,0
2025-01-14,PRD001,Wireless Headphones,Electronics,5.2,0
2025-01-15,PRD001,Wireless Headphones,Electronics,5.2,0
2025-01-16,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-17,PRD001,Wireless Headphones,Electronics,5.6,0
2025-01-18,PRD001,Wireless Headphones,Electronics,5.7,0
2025-01-19,PRD001,Wireless Headphones,Electronics,5.8,0
2025-01-20,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-21,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-22,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-23,PRD001,Wireless Headphones,Electronics,5.6,0
2025-01-24,PRD001,Wireless Headphones,Electronics,5.8,0
2025-01-25,PRD001,Wireless Headphones,Electronics,6.0,0
2025-01-26,PRD001,Wireless Headphones,Electronics,6.0,0
2025-01-27,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-28,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-29,PRD001,Wireless Headphones,Electronics,5.4,0
2025-01-30,PRD001,Wireless Headphones,Electronics,5.6,0
2025-01-31,PRD001,Wireless Headphones,Electronics,5.8,0
2025-02-01,PRD001,Wireless Headphones,Electronics,6.0,0
2025-02-02,PRD001,Wireless Headphones,Electronics,6.1,0
2025-02-03,PRD001,Wireless Headphones,Electronics,5.5,0
2025-02-04,PRD001,Wireless Headphones,Electronics,5.5,0
2025-02-05,PRD001,Wireless Headphones,Electronics,5.5,0
2025-02-06,PRD001,Wireless Headphones,Electronics,5.7,0
2025-02-07,PRD001,Wireless Headphones,Electronics,5.9,0
2025-02-08,PRD001,Wireless Headphones,Electronics,6.0,0
2025-02-09,PRD001,Wireless Headphones,Electronics,6.1,0
2025-02-10,PRD001,Wireless Headphones,Electronics,5.5,0
2025-02-11,PRD001,Wireless Headphones,Electronics,5.6,0
2025-02-12,PRD001,Wireless Headphones,Electronics,5.6,0
2025-02-13,PRD001,Wireless Headphones,Electronics,5.8,0
2025-02-14,PRD001,Wireless Headphones,Electronics,5.9,0
2025-02-15,PRD001,Wireless Headphones,Electronics,6.1,0
